iteration,fidelity
1,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
13,1.0
18,1.0
22,1.0
31,1.0
37,1.0
42,1.0
43,1.0
44,1.0
57,1.0
64,1.0
66,1.0
67,1.0
68,1.0
70,1.0
72,1.0
74,1.0
75,1.0
76,1.0
77,1.0
82,1.0
85,1.0
91,1.0
95,1.0
98,1.0
100,1.0
102,1.0
104,1.0
105,1.0
107,1.0
109,1.0
111,1.0
114,1.0
119,1.0
124,1.0
131,1.0
133,1.0
134,1.0
139,1.0
142,1.0
144,1.0
147,1.0
153,1.0
156,1.0
159,1.0
161,1.0
163,1.0
170,1.0
171,1.0
174,1.0
182,1.0
188,1.0
191,1.0
193,1.0
197,1.0
199,1.0
200,1.0
205,1.0
208,1.0
210,1.0
211,1.0
214,1.0
223,1.0
224,1.0
230,1.0
231,1.0
237,1.0
239,1.0
242,1.0
244,1.0
246,1.0
251,1.0
254,1.0
256,1.0
257,1.0
259,1.0
261,1.0
271,1.0
272,1.0
273,1.0
276,1.0
277,1.0
278,1.0
283,1.0
284,1.0
287,1.0
292,1.0
293,1.0
296,1.0
297,1.0
307,1.0
313,1.0
323,1.0
325,1.0
326,1.0
327,1.0
335,1.0
336,1.0
342,1.0
346,1.0
347,1.0
349,1.0
352,1.0
357,1.0
372,1.0
375,1.0
377,1.0
380,1.0
382,1.0
386,1.0
392,1.0
394,1.0
397,1.0
401,1.0
402,1.0
407,1.0
408,1.0
410,1.0
413,1.0
419,1.0
423,1.0
428,1.0
432,1.0
436,1.0
439,1.0
441,1.0
443,1.0
444,1.0
445,1.0
453,1.0
457,1.0
464,1.0
469,1.0
475,1.0
479,1.0
484,1.0
487,1.0
488,1.0
490,1.0
498,1.0
