iteration,fidelity
1,1.0
3,1.0
5,1.0
21,1.0
23,1.0
24,1.0
26,1.0
30,1.0
31,1.0
34,1.0
35,1.0
40,1.0
44,1.0
46,1.0
50,1.0
51,1.0
52,1.0
53,1.0
60,1.0
74,1.0
78,1.0
81,1.0
82,1.0
83,1.0
86,1.0
87,1.0
92,1.0
94,1.0
95,1.0
99,1.0
102,1.0
103,1.0
110,1.0
111,1.0
112,1.0
114,1.0
116,1.0
124,1.0
128,1.0
132,1.0
139,1.0
141,1.0
146,1.0
147,1.0
149,1.0
152,1.0
153,1.0
156,1.0
157,1.0
158,1.0
163,1.0
166,1.0
176,1.0
177,1.0
178,1.0
180,1.0
182,1.0
184,1.0
185,1.0
186,1.0
188,1.0
190,1.0
192,1.0
194,1.0
198,1.0
201,1.0
206,1.0
209,1.0
216,1.0
219,1.0
223,1.0
225,1.0
229,1.0
232,1.0
238,1.0
243,1.0
245,1.0
248,1.0
262,1.0
263,1.0
266,0.0
285,1.0
286,1.0
290,1.0
294,1.0
295,1.0
296,1.0
300,1.0
303,1.0
307,1.0
310,1.0
312,1.0
315,1.0
317,1.0
318,1.0
320,1.0
321,1.0
325,1.0
326,1.0
332,1.0
333,1.0
335,1.0
338,1.0
340,1.0
342,1.0
343,0.0
344,1.0
346,0.0
348,1.0
350,1.0
351,1.0
354,1.0
355,1.0
357,1.0
358,1.0
359,1.0
363,1.0
364,1.0
368,1.0
374,1.0
378,1.0
379,1.0
382,1.0
383,1.0
384,1.0
385,1.0
388,1.0
390,1.0
394,1.0
395,1.0
400,1.0
417,1.0
422,1.0
426,1.0
427,1.0
431,1.0
432,1.0
433,1.0
444,1.0
447,1.0
450,1.0
455,1.0
457,1.0
458,1.0
460,1.0
462,1.0
466,1.0
476,1.0
477,1.0
487,1.0
491,1.0
492,1.0
494,1.0
498,1.0
