iteration,fidelity
30,1.0
102,1.0
203,1.0
240,1.0
330,1.0
383,1.0
399,1.0
452,1.0
490,1.0
101,1.0
104,1.0
148,1.0
177,1.0
190,1.0
227,1.0
232,1.0
277,1.0
316,1.0
97,1.0
116,1.0
128,1.0
174,1.0
243,1.0
344,1.0
380,1.0
430,1.0
441,1.0
49,1.0
57,1.0
67,1.0
129,1.0
209,0.0
274,1.0
309,1.0
320,1.0
337,1.0
366,1.0
368,1.0
384,1.0
389,1.0
420,1.0
437,1.0
447,1.0
448,1.0
449,1.0
49,1.0
102,1.0
144,1.0
181,1.0
194,1.0
228,1.0
231,1.0
245,1.0
286,1.0
318,1.0
365,1.0
421,1.0
435,1.0
442,1.0
443,1.0
492,1.0
