iteration,fidelity
1,1.0
2,1.0
3,1.0
4,1.0
6,1.0
7,1.0
8,1.0
9,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.0
35,1.0
38,1.0
40,1.0
41,1.0
42,1.0
45,1.0
46,1.0
47,1.0
49,1.0
51,0.0
52,1.0
53,1.0
54,1.0
56,1.0
58,1.0
59,1.0
60,1.0
62,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
81,1.0
82,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
91,1.0
92,1.0
95,1.0
97,1.0
98,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
121,1.0
123,1.0
127,1.0
131,1.0
133,1.0
134,1.0
135,1.0
136,1.0
140,1.0
141,1.0
142,1.0
144,1.0
146,1.0
147,1.0
148,1.0
150,1.0
152,1.0
153,1.0
154,1.0
156,1.0
157,1.0
159,1.0
160,1.0
161,1.0
163,1.0
164,1.0
165,1.0
166,1.0
168,1.0
171,1.0
173,1.0
175,1.0
176,1.0
179,1.0
180,1.0
183,1.0
185,1.0
187,1.0
188,1.0
190,1.0
193,1.0
194,1.0
196,1.0
198,1.0
202,1.0
203,1.0
205,1.0
206,1.0
207,1.0
209,1.0
210,1.0
216,1.0
217,1.0
218,1.0
221,1.0
222,1.0
223,1.0
224,1.0
226,1.0
227,1.0
228,1.0
230,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
239,1.0
241,1.0
242,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
252,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
260,1.0
261,1.0
262,1.0
266,1.0
267,1.0
268,1.0
269,1.0
271,1.0
273,1.0
275,1.0
276,0.0
277,1.0
279,1.0
280,1.0
281,0.0
282,1.0
283,1.0
284,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,0.0
291,1.0
293,1.0
294,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
303,1.0
304,1.0
305,1.0
307,1.0
309,1.0
310,1.0
312,1.0
314,0.0
315,1.0
317,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
328,1.0
329,1.0
330,1.0
331,1.0
333,1.0
334,1.0
335,1.0
336,1.0
338,1.0
339,1.0
340,1.0
342,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
350,0.0
351,1.0
352,1.0
354,0.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,1.0
365,1.0
367,1.0
368,1.0
369,1.0
371,1.0
372,1.0
373,1.0
378,1.0
380,1.0
381,1.0
384,1.0
385,1.0
387,1.0
389,1.0
390,1.0
391,1.0
395,1.0
396,1.0
397,1.0
398,1.0
400,1.0
401,1.0
402,1.0
403,1.0
405,1.0
407,1.0
408,1.0
409,0.0
410,1.0
411,1.0
414,1.0
416,1.0
420,1.0
423,1.0
427,1.0
431,1.0
432,1.0
439,1.0
442,1.0
443,1.0
444,1.0
445,1.0
449,1.0
450,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
461,1.0
463,1.0
465,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
471,1.0
473,1.0
474,1.0
475,0.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
484,0.0
485,1.0
486,1.0
487,1.0
488,1.0
492,1.0
494,1.0
496,1.0
497,1.0
498,1.0
