iteration,fidelity
25,1.0
62,1.0
64,1.0
65,1.0
103,1.0
105,1.0
190,1.0
191,1.0
202,1.0
275,1.0
284,1.0
311,1.0
332,1.0
382,1.0
439,1.0
457,1.0
461,1.0
472,1.0
485,1.0
42,1.0
52,1.0
65,1.0
111,1.0
128,1.0
215,1.0
218,1.0
240,1.0
286,1.0
325,1.0
336,1.0
364,1.0
412,1.0
421,1.0
48,1.0
50,1.0
55,1.0
81,1.0
139,1.0
164,1.0
167,1.0
246,1.0
247,1.0
327,1.0
368,1.0
405,1.0
410,1.0
425,1.0
429,1.0
53,1.0
65,1.0
88,1.0
158,1.0
161,1.0
267,1.0
322,1.0
336,1.0
349,1.0
436,1.0
478,1.0
78,1.0
138,1.0
165,1.0
306,1.0
346,1.0
362,1.0
404,1.0
