iteration,fidelity
1,1.0
9,1.0
16,1.0
18,1.0
19,1.0
20,1.0
22,1.0
24,1.0
25,1.0
33,1.0
36,1.0
38,1.0
41,1.0
43,1.0
55,1.0
65,1.0
68,1.0
70,1.0
71,1.0
74,1.0
75,1.0
78,1.0
80,1.0
81,1.0
88,1.0
96,1.0
99,1.0
104,1.0
105,1.0
107,1.0
115,1.0
118,1.0
119,1.0
122,1.0
126,1.0
135,1.0
136,1.0
138,1.0
145,1.0
146,1.0
153,1.0
154,1.0
155,1.0
156,1.0
163,1.0
167,1.0
168,1.0
178,1.0
180,1.0
186,1.0
188,1.0
189,1.0
190,1.0
191,1.0
194,1.0
202,1.0
211,1.0
212,1.0
214,1.0
217,1.0
224,1.0
230,1.0
235,1.0
241,1.0
244,1.0
247,1.0
249,1.0
254,1.0
259,1.0
261,1.0
262,1.0
265,1.0
267,1.0
272,1.0
276,1.0
277,1.0
278,1.0
279,1.0
282,1.0
283,1.0
288,1.0
291,1.0
292,1.0
294,1.0
297,1.0
300,1.0
302,1.0
307,1.0
308,1.0
315,1.0
319,1.0
322,1.0
336,1.0
339,1.0
340,1.0
345,1.0
358,1.0
361,1.0
364,1.0
367,1.0
368,1.0
376,1.0
380,1.0
384,1.0
385,1.0
387,1.0
396,1.0
404,1.0
408,1.0
410,1.0
412,1.0
416,1.0
418,1.0
419,1.0
421,1.0
423,1.0
424,1.0
425,1.0
428,1.0
434,1.0
435,1.0
442,1.0
446,1.0
450,1.0
454,1.0
460,1.0
462,1.0
471,1.0
473,1.0
477,1.0
481,1.0
488,1.0
489,1.0
490,1.0
498,1.0
