iteration,fidelity
0,1.0
1,1.0
2,1.0
4,1.0
5,1.0
6,1.0
8,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.0
16,1.0
17,0.0
20,1.0
26,1.0
27,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
40,0.0
41,1.0
42,1.0
43,1.0
45,1.0
46,1.0
47,1.0
48,1.0
51,1.0
54,1.0
56,1.0
60,1.0
61,1.0
62,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
72,1.0
73,1.0
75,0.0
76,1.0
77,1.0
78,1.0
79,1.0
81,1.0
83,1.0
87,1.0
90,1.0
91,1.0
92,1.0
94,1.0
95,1.0
97,1.0
100,1.0
101,1.0
102,0.0
103,1.0
104,1.0
105,1.0
106,1.0
108,1.0
110,1.0
111,1.0
113,1.0
114,0.0
115,1.0
116,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
125,0.0
126,0.0
127,1.0
128,1.0
129,1.0
132,1.0
134,1.0
135,1.0
136,1.0
138,1.0
139,1.0
141,0.0
142,1.0
143,1.0
145,1.0
146,1.0
147,1.0
148,1.0
151,1.0
152,1.0
153,1.0
154,1.0
156,1.0
158,1.0
159,1.0
160,1.0
162,1.0
163,1.0
165,1.0
166,1.0
172,1.0
173,1.0
176,1.0
177,1.0
179,1.0
181,1.0
183,1.0
185,1.0
186,1.0
187,1.0
189,1.0
192,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
200,1.0
201,0.0
202,1.0
204,1.0
206,0.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
218,1.0
220,1.0
225,1.0
227,1.0
228,1.0
230,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
242,1.0
243,1.0
244,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
254,1.0
255,1.0
256,1.0
258,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,0.0
269,1.0
271,1.0
277,1.0
278,1.0
280,1.0
281,1.0
282,1.0
285,1.0
286,0.0
290,1.0
292,1.0
293,1.0
294,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
305,1.0
306,1.0
308,1.0
312,1.0
313,1.0
314,1.0
316,1.0
318,1.0
320,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
328,1.0
329,1.0
334,1.0
335,1.0
337,1.0
339,1.0
340,0.0
341,1.0
344,1.0
345,1.0
346,1.0
347,1.0
349,1.0
350,1.0
351,1.0
352,0.0
353,1.0
355,1.0
356,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
365,1.0
367,1.0
368,1.0
370,1.0
372,1.0
373,1.0
374,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
387,1.0
390,1.0
391,1.0
392,1.0
393,1.0
394,1.0
396,1.0
398,1.0
399,1.0
400,1.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,1.0
410,1.0
416,1.0
417,1.0
418,1.0
420,1.0
421,1.0
422,1.0
424,1.0
425,1.0
426,1.0
427,1.0
429,1.0
430,0.0
431,1.0
435,1.0
436,1.0
437,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
448,1.0
449,1.0
450,1.0
452,1.0
453,1.0
454,0.0
457,1.0
460,1.0
461,1.0
463,1.0
465,1.0
467,1.0
468,1.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
484,1.0
485,1.0
488,0.0
491,1.0
493,1.0
494,1.0
495,1.0
497,1.0
498,1.0
