iteration,fidelity
0,1.0
1,1.0
2,1.0
4,1.0
5,1.0
6,1.0
8,1.0
9,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,0.0
19,1.0
21,1.0
22,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
42,1.0
44,1.0
45,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
64,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
83,1.0
84,1.0
85,1.0
89,1.0
92,1.0
93,1.0
96,1.0
97,1.0
99,1.0
100,1.0
101,1.0
106,1.0
107,1.0
109,1.0
111,1.0
112,1.0
113,1.0
116,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
124,1.0
125,1.0
128,1.0
130,1.0
132,1.0
133,1.0
137,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
147,1.0
148,1.0
150,1.0
151,1.0
153,1.0
156,1.0
158,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
171,1.0
173,1.0
175,0.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
186,1.0
189,1.0
190,1.0
192,1.0
193,1.0
194,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
211,1.0
216,1.0
217,1.0
219,1.0
221,1.0
222,1.0
223,1.0
227,1.0
228,1.0
230,1.0
233,1.0
235,1.0
236,1.0
238,1.0
240,1.0
241,1.0
244,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
254,1.0
255,1.0
256,1.0
257,1.0
261,1.0
262,1.0
264,1.0
265,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
275,1.0
278,1.0
279,1.0
280,1.0
281,0.0
282,1.0
283,1.0
285,1.0
286,1.0
287,1.0
289,1.0
290,1.0
295,1.0
296,1.0
297,1.0
299,1.0
303,1.0
304,1.0
305,1.0
307,1.0
309,1.0
310,1.0
312,1.0
313,1.0
315,1.0
316,1.0
318,1.0
320,1.0
321,1.0
322,1.0
323,1.0
326,1.0
327,1.0
329,1.0
330,1.0
331,1.0
334,1.0
335,1.0
336,1.0
339,1.0
340,1.0
344,1.0
345,1.0
347,1.0
348,1.0
352,1.0
354,1.0
355,1.0
357,1.0
358,1.0
361,1.0
364,1.0
366,1.0
368,1.0
369,1.0
371,1.0
374,1.0
375,1.0
378,1.0
380,1.0
381,1.0
384,1.0
387,1.0
389,1.0
390,1.0
392,1.0
394,1.0
395,1.0
396,1.0
398,1.0
399,1.0
400,1.0
402,1.0
403,1.0
404,1.0
408,1.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
418,1.0
419,0.0
420,1.0
421,1.0
422,1.0
423,1.0
425,1.0
426,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,1.0
435,1.0
436,1.0
437,1.0
438,1.0
439,1.0
443,1.0
444,1.0
445,1.0
447,1.0
449,1.0
450,1.0
452,1.0
453,1.0
454,1.0
455,1.0
456,1.0
457,1.0
458,1.0
460,1.0
461,1.0
463,1.0
464,1.0
466,1.0
467,1.0
468,1.0
469,1.0
470,1.0
473,1.0
474,1.0
475,1.0
476,1.0
479,1.0
480,1.0
484,1.0
486,1.0
490,1.0
494,1.0
495,1.0
496,1.0
