iteration,fidelity
3,1.0
5,1.0
6,1.0
14,1.0
16,1.0
23,1.0
25,1.0
32,1.0
34,1.0
37,1.0
47,1.0
48,1.0
51,1.0
56,1.0
60,1.0
61,1.0
63,1.0
65,1.0
68,1.0
74,1.0
75,1.0
76,1.0
83,1.0
89,1.0
90,1.0
92,1.0
95,1.0
98,1.0
101,1.0
103,1.0
104,1.0
107,1.0
109,1.0
112,1.0
117,1.0
119,1.0
120,1.0
127,1.0
131,1.0
135,1.0
136,1.0
139,1.0
145,1.0
149,1.0
159,1.0
162,1.0
163,1.0
171,1.0
172,1.0
176,1.0
186,1.0
188,1.0
189,1.0
196,1.0
204,1.0
205,1.0
206,1.0
209,1.0
217,1.0
219,1.0
224,1.0
226,1.0
228,1.0
230,1.0
236,1.0
237,1.0
238,1.0
240,1.0
246,1.0
247,1.0
248,1.0
249,1.0
260,1.0
261,1.0
276,1.0
277,1.0
283,0.0
284,1.0
285,1.0
290,1.0
292,1.0
294,1.0
297,1.0
298,1.0
299,1.0
302,1.0
303,1.0
307,1.0
312,1.0
318,1.0
324,1.0
326,1.0
327,1.0
329,1.0
333,1.0
334,1.0
335,1.0
340,1.0
341,1.0
346,1.0
348,1.0
352,1.0
357,1.0
363,1.0
367,1.0
371,1.0
373,1.0
380,1.0
383,1.0
387,1.0
389,1.0
391,1.0
392,1.0
396,1.0
397,1.0
403,1.0
404,1.0
406,1.0
415,1.0
418,1.0
422,1.0
425,1.0
432,1.0
433,1.0
434,1.0
441,1.0
442,1.0
443,1.0
449,1.0
453,1.0
458,1.0
461,1.0
468,1.0
469,1.0
476,1.0
480,1.0
482,1.0
489,1.0
492,1.0
497,1.0
498,1.0
