iteration,fidelity
49,1.0
66,1.0
159,1.0
250,1.0
329,1.0
362,1.0
370,1.0
396,1.0
442,1.0
464,1.0
466,1.0
480,1.0
41,1.0
42,1.0
75,1.0
89,1.0
110,1.0
118,1.0
169,1.0
205,1.0
216,1.0
243,1.0
277,1.0
281,1.0
494,1.0
34,1.0
181,1.0
185,1.0
187,1.0
216,1.0
229,1.0
442,1.0
124,0.0
164,1.0
173,1.0
176,1.0
242,1.0
259,1.0
263,1.0
267,1.0
273,1.0
382,1.0
393,1.0
405,1.0
486,1.0
50,1.0
65,1.0
88,1.0
171,1.0
202,1.0
213,1.0
223,1.0
232,1.0
238,1.0
266,1.0
274,0.0
306,1.0
326,1.0
364,1.0
399,1.0
422,1.0
457,1.0
